Finished,ResponseId,UserLanguage,CF2,country,D1,D2,D2 CODINGS,D3,D3_13_TEXT,D7,D7_9_TEXT,Q59,Q59_13_TEXT,Q178,Q179,Q180,C3,C3_16_TEXT,C3_12_TEXT,Q182,Q182_23_TEXT,Q181,Q184,Q57,C4,C4 CODINGS,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q58_6,Q58_7,Q189,Q189_9_TEXT,Q191,Q191 CODINGS,Q192,Q192_9_TEXT,Q195,Q196,Q196_9_TEXT,Q198,Q199,Q199_9_TEXT,Q201,Q202,Q202_9_TEXT,Q204,Q205,Q205_9_TEXT,Q207,Q208_1,Q208_2,Q208_3,Q208_4,Q208_5,Q208_6,Q208_7,Q208_8,Q208_9,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,Q56_7,Q56_8,Q56_9,Q210,Q185,Q185_21_TEXT,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,Q60,Q186_1,Q186_2,Q186_3,Q186_4,Q186_5,Q186_6,Q186_7,Q186_8,Q186_9,Q186_10,Q186_11,Q186_12,Q61
TRUE,39,EN,I agree to participate in the described study.,United Kingdom of Great Britain and Northern Ireland,40,Finance,['Finance'],Researcher,,"Development tools (compilers, programming languages, etc.)",,Java,,Yes,"2 - Somewhat proficient: I find AI tools occasionally useful, but limited and unreliable","Code Generation,Code Review","ChatGPT,Deepseek-R1",,,API integration with development pipelines,,A few times per month,No noticeable change,No,,,Use occasionally,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Use occasionally,Use occasionally,Heard of it but don't use,"Example inputs and expected outputs,Desired code style and naming conventions",,"Prompts specify that output should be in a specific language (e.g., OCL), and that duplicates and redundant information should be avoided. Also, that explanations should be omitted.","['Specify_language', 'Avoid_explanations', 'Avoid_redundant_info']",,,,,,,,,,,,,Description of feature or fix purpose,,"Prompts specify that output should be in a specific format (such as JSON), specific language (e.g., OCL), and that duplicates and redundant information should be avoided. Also, that explanations should be omitted.",Often,Rarely,Never,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes,Often,Never,Never,Never,Rarely,Never,Never,2-3,"Implementing new code components (e.g. includes creating data structures, writing functions),Others (please specify)",Reverse engineering,Very unreliable,Unsure / Haven’t tried,,,,,,,,,Very unreliable,Unsure / Haven’t tried,,Often,Sometimes,,,,,,,,,Often,Often,Inconsistent format in responses = Sometimes.
TRUE,40,EN,I agree to participate in the described study.,Canada,2,Healthcare,['Healthcare'],"Researcher,Analyst",,"Web applications,Others (please specify)",Dashboards and Reporting,"Python,Java,SQL",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Refactoring,Code Debugging,Code Documentation","ChatGPT,Claude,Deepseek-R1",,,My workflow does not incorporate AI tools,,Multiple times daily,Significantly increased productivity,Yes,Previously I would look at stack overflow and now I directly ask ChatGPT,['Ask AI instead of web search'],Use occasionally,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Use occasionally,Use occasionally,Use occasionally,"Example inputs and expected outputs,Description of existing codebase architecture,Desired code style and naming conventions",,,,"The original code with explanatory comments,Unit tests demonstrating expected behavior,Examples of similar code you consider well-structured,Code that should remain unchanged during refactoring",,,,,,"Full error messages and stack traces,Related logs or console output",,,"Code with functionality explanation,Documentation format requirements,Existing documentation that needs updating,Usage examples and scenarios",,,,,,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,7-10,"Designing software and code architectures (e.g. software design, architectural patterns),Implementing new code components (e.g. includes creating data structures, writing functions),Optimizing existing code (e.g. performance improvements, reducing complexity),Bug fixing (e.g. resolving exceptions, fixing logical errors),Code-level documentation (e.g. functions, classes, inline comments)",,Somewhat unreliable,Somewhat reliable,Somewhat reliable,Somewhat reliable,,,Somewhat unreliable,Somewhat reliable,Somewhat reliable,Somewhat reliable,,,,Often,Often,Often,Often,,,Often,Often,Often,Often,,,
TRUE,41,EN,I agree to participate in the described study.,United States of America,2,Banking ,['Banking'],"Tester,Project Manager",,Middleware,,Python,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,42,EN,I agree to participate in the described study.,United States of America,11,banking,['Banking'],"Programmer,Researcher",,"Web applications,Desktop applications",,"Python,C++,C,Java,SQL",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Refactoring,Software Testing ,Code Documentation","ChatGPT,Copilot",,,IDE plugins/extensions,,Multiple times daily,Slightly increased productivity,Yes,mainly for code reuse/generation (replace by using search engine/Information retrival based methods).,['Ask AI instead of web search'],Use occasionally,Use occasionally,Heard of it but don't use,Heard of it but don't use,Use occasionally,Heard of it but don't use,Use occasionally,"Specific libraries or frameworks to use,Performance or optimization requirements,Target environment or deployment constraints",,,,"The original code with explanatory comments,Description of current issues and refactoring goals,Code that should remain unchanged during refactoring",,,"Code to be tested with specifications,Examples of test cases (inputs-output mappings)",,,,,,"Code with functionality explanation,Existing documentation that needs updating",,,,,,Sometimes,Often,Sometimes,Often,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Rarely,Sometimes,Rarely,Sometimes,Often,Often,2-3,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Optimizing existing code (e.g. performance improvements, reducing complexity),Standardizing and cleaning code (e.g. style improvements, naming conventions, removing duplication),Code-level documentation (e.g. functions, classes, inline comments)",,Somewhat unreliable,Somewhat reliable,Somewhat unreliable,Very reliable,Somewhat reliable,Somewhat reliable,,,Unsure / Haven’t tried,Very reliable,,,,Sometimes,Sometimes,Sometimes,Often,Rarely,Never,,,Never,Rarely,,,
TRUE,43,EN,I agree to participate in the described study.,United States of America,4,AI application,['AI / Machine Learning'],Researcher,,AI-intensive systems,,"Python,Java",,Yes,5 - Maximum proficiency: I can efficiently obtain desired output for any task,"Code Generation,Code Refactoring,Software Testing ,Code Debugging,Code Documentation","ChatGPT,Claude,Gemini,Grok,Deepseek-R1,Llama,Copilot,AI-integrated IDE (e.g. Windsurf) (please specify)",cursor,,"Web interfaces,IDE plugins/extensions,Command line tools,API integration with development pipelines",,Multiple times daily,Significantly increased productivity,Yes,"Yes, it helps me quickly debug and fix bugs, implement new feature, and refactory code. Compared to without using AI, my productivity gets huge improvement.","['Saves_time_or_boosts_productivity', 'Speed_up_refactoring', 'Speed_up_coding', 'Speed_up_debugging']",Use occasionally,Use regularly,Use regularly,Use regularly,Use regularly,Use regularly,Use regularly,"Performance or optimization requirements,Error handling expectations,Description of existing codebase architecture,Desired code style and naming conventions",,"Let LLM to slef-check at the end of prompt like: When you finish generation, please use some test cases to self-check your code.",['Instruct LLM to check its solution'],"The original code with explanatory comments,Unit tests demonstrating expected behavior,Description of current issues and refactoring goals,Examples of similar code you consider well-structured,Code that should remain unchanged during refactoring",,,"Edge cases and expected behaviors,Testing framework preferences and assertion styles,Existing test suite examples,Performance or resource constraints for tests",,,"Full error messages and stack traces,Steps to reproduce the issue,Environment details and configurations,Previously attempted solutions,Screenshots or visual evidence of the issue",,,"Code with functionality explanation,Target audience information and technical level,Examples of desired documentation style,Documentation format requirements,Usage examples and scenarios",,,,,,Sometimes,Often,Often,Rarely,Often,Often,Rarely,Sometimes,Sometimes,Sometimes,Often,Often,Rarely,Often,Rarely,Rarely,Often,Often,4-6,"Designing software and code architectures (e.g. software design, architectural patterns),Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Standardizing and cleaning code (e.g. style improvements, naming conventions, removing duplication),Test creation and implementation (e.g. unit, integration, end-to-end test code),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors),Code-level documentation (e.g. functions, classes, inline comments),Project-level documentation (e.g. READMEs, architecture docs, API docs)",,Somewhat reliable,Somewhat reliable,Somewhat unreliable,Somewhat reliable,Somewhat reliable,Somewhat reliable,Somewhat unreliable,Somewhat reliable,Very reliable,Very reliable,,,,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,Never,Rarely,,,
TRUE,44,EN,I agree to participate in the described study.,United States of America,5,Research,['Research'],Researcher,,"Mobile applications,AI-intensive systems",,"Python,C++",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Debugging","ChatGPT,Gemini,Deepseek-R1",,,Web interfaces,,Multiple times daily,No noticeable change,Yes,"When facing a SE problem, ask AI for suggestion first, try the solution, if works, use it , if not, then think about the problem itself, organize  the problem again, and ask AI again.","['Prompt_engineering', 'Iterative_prompting_process']",Use occasionally,Heard of it but don't use,Never heard of it,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,"Specific libraries or frameworks to use,Performance or optimization requirements,Error handling expectations,Target environment or deployment constraints,Description of existing codebase architecture",,describe the requirement as detailed as possible ,"['Clarify requirements / output', 'Include maximum detail']",,,,,,,"Full error messages and stack traces,Environment details and configurations,Screenshots or visual evidence of the issue",,"Ignore useless information, offer the key item",,,,,,,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,4-6,"Implementing new code components (e.g. includes creating data structures, writing functions),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors)",,Somewhat reliable,Somewhat unreliable,,,,,Somewhat reliable,Somewhat unreliable,,,,,,Sometimes,Sometimes,,,,,Often,Sometimes,,,,,
TRUE,45,EN,I agree to participate in the described study.,China,3,healthcare,['Healthcare'],"Programmer,Researcher",,"Web applications,Mobile applications,Desktop applications,AI-intensive systems",,"Python,Java,JavaScript,Go,SQL",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Refactoring,Code Documentation,Code Review","ChatGPT,Gemini,Copilot,AI-integrated IDE (e.g. Windsurf) (please specify)",cursor,,"Web interfaces,IDE plugins/extensions",,Multiple times daily,Significantly increased productivity,Yes,The AI tools help me to write more documentations for code and orginize code better.,"['More_documentation', 'More_clean_and_organized_code']",Heard of it but don't use,Use occasionally,Use occasionally,Heard of it but don't use,Use occasionally,Use occasionally,Never heard of it,"Example inputs and expected outputs,Specific libraries or frameworks to use",,,,"The original code with explanatory comments,Description of current issues and refactoring goals,Performance requirements or benchmarks",,,,,,,,,"Code with functionality explanation,Target audience information and technical level,Documentation format requirements,Existing documentation that needs updating",,,"Code to be reviewed with context,Project coding standards and guidelines,Description of feature or fix purpose",,,Sometimes,Often,Often,Rarely,Often,Often,Rarely,Often,Rarely,Often,Often,Sometimes,Often,Often,Often,Sometimes,Rarely,Often,2-3,"Designing software and code architectures (e.g. software design, architectural patterns),Implementing new code components (e.g. includes creating data structures, writing functions),Optimizing existing code (e.g. performance improvements, reducing complexity),Code-level documentation (e.g. functions, classes, inline comments),Code quality evaluation (e.g. style, maintainability, complexity)",,Somewhat reliable,Very reliable,Somewhat reliable,Very reliable,,,,,Very reliable,Very reliable,Very reliable,Somewhat unreliable,,Rarely,Sometimes,Often,Rarely,,,,,Rarely,Often,Often,Rarely,
TRUE,46,EN,I agree to participate in the described study.,United Kingdom of Great Britain and Northern Ireland,6,academia,['Research'],Researcher,,"AI-intensive systems,Development tools (compilers, programming languages, etc.),Libraries/frameworks",,"Python,Java",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Refactoring,Code Debugging",ChatGPT,,,Web interfaces,,Multiple times daily,Slightly increased productivity,Yes,"I use it for very verbose parts, code that have simple or well-known logic but take time to code and don't really exist as a library. Usually, I work at function level. Sometimes, to improve or refactor some function as well.","['Write_boilerplate_code', 'Speed_up_coding', 'Refactoring', 'Saves_time_or_boosts_productivity']",Use occasionally,Use occasionally,Heard of it but don't use,Never heard of it,Use occasionally,Never heard of it,Never heard of it,"Example inputs and expected outputs,Specific libraries or frameworks to use,Implementation alternatives to consider or avoid,Error handling expectations",,,,"The original code with explanatory comments,Description of current issues and refactoring goals,Architectural constraints and style guidelines,Specific refactoring patterns to apply",,,,,,"Full error messages and stack traces,Steps to reproduce the issue,Environment details and configurations,Previously attempted solutions,Related logs or console output",,,,,,,,,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Never,Rarely,Rarely,Often,Often,Often,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes,2-3,"Designing software and code architectures (e.g. software design, architectural patterns),Implementing new code components (e.g. includes creating data structures, writing functions),Optimizing existing code (e.g. performance improvements, reducing complexity),Standardizing and cleaning code (e.g. style improvements, naming conventions, removing duplication),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors)",,Somewhat unreliable,Unsure / Haven’t tried,Somewhat reliable,Somewhat unreliable,,,Somewhat reliable,Somewhat reliable,,,,,,Sometimes,Never,Sometimes,Often,,,Sometimes,Often,,,,,
TRUE,47,EN,I agree to participate in the described study.,United States of America,13,Private Businesses,"['Research', 'Business']",Researcher,,AI-intensive systems,,"Python,Java,JavaScript",,Yes,"4 - Very proficient: With time, I can almost always get the desired output for most tasks","Code Debugging,Code Documentation","ChatGPT,Copilot",,,"Web interfaces,API integration with development pipelines",,Multiple times daily,Significantly increased productivity,Yes,"The approach is more shifted towards a trial and error. This even when, I would struggle to code the logic of the app/service I am working on. 
With AI, I will catch up on the logic as the coding continues.","['Reduces_coding_complexity', 'Iterative_prompting_process']",Use regularly,Use regularly,Use regularly,Heard of it but don't use,Use occasionally,Use regularly,Use occasionally,,,,,,,,,,,"Full error messages and stack traces,Steps to reproduce the issue,Previously attempted solutions,Related logs or console output,Screenshots or visual evidence of the issue",,,"Code with functionality explanation,Examples of desired documentation style,Domain-specific terminology guidelines,Usage examples and scenarios",,,,,,Sometimes,Often,Often,Sometimes,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Sometimes,Often,7-10,"Bug fixing (e.g. resolving exceptions, fixing logical errors),Code-level documentation (e.g. functions, classes, inline comments)",,,,,,,,Somewhat unreliable,Somewhat reliable,Somewhat reliable,Very reliable,,,,,,,,,,Sometimes,Rarely,Sometimes,Sometimes,,,
TRUE,48,EN,I agree to participate in the described study.,India,2,"Software developement, ML Research","['AI / Machine Learning', 'Software']",Researcher,,"AI-intensive systems,Development tools (compilers, programming languages, etc.)",,"Python,C++",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Refactoring,Code Review","ChatGPT,Claude,Copilot,AI-integrated IDE (e.g. Windsurf) (please specify)",Vscode,,"Web interfaces,IDE plugins/extensions",,Multiple times daily,Significantly increased productivity,Yes,"AI tools have changed how I percieve SE plans. In my work as a researcher, I often make plans on how to test and make new tools, run experiements and write code. I now usually spend significantly less time writing portions of my experiments that are boilerplate (sections that I know well and can quickly go over and ensure their correctness). I only manually write code (that too with the help of AI tools) in cases where I wish to pay close attention to details or at important parts of my code repo. Other utility scripts and less important (easier) parts of the code are usually written by different tools like Claude 3.5 and others. Additionally, I also use tools like ChatGPT (deep thinking) and Grok (deep research) in planning and layout of my projects and helping me analyze outcomes and results better.","['Speed_up_coding', 'Write_boilerplate_code', 'Project_architecture_or_design', 'Saves_time_or_boosts_productivity']",Use occasionally,Never heard of it,Heard of it but don't use,Heard of it but don't use,Use occasionally,Heard of it but don't use,Heard of it but don't use,"Example inputs and expected outputs,Specific libraries or frameworks to use,Implementation alternatives to consider or avoid,Error handling expectations,Description of existing codebase architecture,Desired code style and naming conventions",,,,"The original code with explanatory comments,Examples of similar code you consider well-structured,Code that should remain unchanged during refactoring,Specific refactoring patterns to apply",,,,,,,,,,,,"Project coding standards and guidelines,Description of feature or fix purpose,Common pitfalls in this domain or codebase",,,Often,Sometimes,Rarely,Often,Sometimes,Often,Rarely,Often,Sometimes,Often,Often,Rarely,Often,Rarely,Sometimes,Rarely,Rarely,Often,2-3,"Designing software and code architectures (e.g. software design, architectural patterns),Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions)",,Somewhat unreliable,Somewhat reliable,Very reliable,Very unreliable,,,,,,,Somewhat unreliable,Somewhat unreliable,,Sometimes,Often,Often,Often,,,,,,,Sometimes,Rarely,
TRUE,49,EN,I agree to participate in the described study.,United Kingdom of Great Britain and Northern Ireland,26,"banking, insurance, systems, academic context in general.","['Research', 'Banking', 'Insurance', 'Systems']","Programmer,Tester,Educator,Researcher",,"Development tools (compilers, programming languages, etc.),Libraries/frameworks",,"Python,C++,C,Java",,Yes,"4 - Very proficient: With time, I can almost always get the desired output for most tasks","Code Generation,Software Testing ,Code Debugging,Code Documentation","ChatGPT,Gemini",,,"Web interfaces,Command line tools",,Multiple times daily,Significantly increased productivity,Yes,"It can very quickly get a documented prototype of the code I want to write, then I am testing and adding documentation to special cases or some tricky parts of the code. So it saves all the grey work till the actual fun stuff is done. It also helps with debugging, a lot in the area of package dependencies. It can also help explain hard code, like quantum code.","['Speed_up_coding', 'Speed_up_documentation', 'Verification_of_AI_Generated_Code', 'Library_or_dependency_management', 'Speed_up_debugging', 'Provide_a_starting_point', 'Code_explanation', 'Saves_time_or_boosts_productivity']",Use occasionally,Never heard of it,Use occasionally,Use occasionally,Use regularly,Use regularly,Use occasionally,"Performance or optimization requirements,Target environment or deployment constraints,Others (please specify):",Zip files,"I usually ask for a code that works in Unix or mac OS and so on, and need to follow some constraints and coding style. I found giving input and output examples not so great in terms of performance. If I add class to an existing project, I commonly (if there are no legal restrictions), zip the folder and give it to the chat, this also works with student projects when installation and running the basics are commonly very poorly documented. AI can reduce the time of marking large projects form 3 h to 30 minutes due to this automation.","['Avoid_input_or_output_examples', 'Provide_constraints', 'Provide_code']",,,,"Edge cases and expected behaviors,Environment setup requirements",,,"Full error messages and stack traces,Environment details and configurations,Related logs or console output",,"Usually, just dumping the terminal text with all the errors works best. The most useful case was the Python packages dependency solver.","Code with functionality explanation,Target audience information and technical level",,"Usually, feeding it class after class creates a very detailed, solid documentation.",,,,Rarely,Often,Sometimes,Rarely,Often,Often,Rarely,Often,Never,Sometimes,Often,Rarely,Often,Rarely,Often,Sometimes,Rarely,Sometimes,10+,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Issue diagnosis (e.g. understanding errors, identifying root causes),Code-level documentation (e.g. functions, classes, inline comments)",,Somewhat unreliable,Very reliable,,,Unsure / Haven’t tried,Somewhat reliable,Very reliable,Somewhat reliable,Somewhat reliable,Very reliable,,,"You can ask gen-ai to create test cases, but I do not think it can work much of coverage if this is a large code base. Documentation: it gives a good start but I will not take it as is, as there might be some errors (or misunderstanding) and these models tend to write too much.",Often,Rarely,,,Rarely,Often,Sometimes,Rarely,Sometimes,Always,,,"Bug fixes might take several iterations to solve, but if it is a crash bug, these models tend to be effective."
TRUE,50,EN,I agree to participate in the described study.,Canada,10,research prototype scientific software,['Research'],"Programmer,Tester,Educator,Researcher",,"Development tools (compilers, programming languages, etc.),Libraries/frameworks",,"Python,Java",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Documentation","ChatGPT,AI-integrated IDE (e.g. Windsurf) (please specify)",cursor,,IDE plugins/extensions,,A few times per week,Slightly increased productivity,Yes,I no longer rely on StackOverflow for QA and mostly use chatgpt and canvas for issues common programming issues. Cursor has been very helpful to provide project-wise configuration debugging process.,"['Project_configuration', 'Ask_AI_instead_of_web_search']",Heard of it but don't use,Use occasionally,Never heard of it,Never heard of it,Use regularly,Use regularly,Use regularly,"Example inputs and expected outputs,Specific libraries or frameworks to use,Performance or optimization requirements",,,,,,,,,,,,,"Code with functionality explanation,Examples of desired documentation style,Domain-specific terminology guidelines,Usage examples and scenarios,Project standards and conventions",,,,,,Often,Often,Rarely,Sometimes,Rarely,Often,Rarely,Often,Sometimes,Often,Often,Rarely,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,4-6,"Designing software and code architectures (e.g. software design, architectural patterns),Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions)",,Somewhat unreliable,Somewhat unreliable,,,,,,,Somewhat unreliable,Somewhat unreliable,,,AI is reasonably reliable in generating mid-complex algorithms. ,Often,Sometimes,,,,,,,Sometimes,Often,,,
TRUE,51,EN,I agree to participate in the described study.,United States of America,3,education,['Education'],Researcher,,Web applications,,"Python,Java",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Documentation","ChatGPT,Claude",,,Web interfaces,,Multiple times daily,Significantly increased productivity,Yes,"I used the term ""vibe coding"" to describe my software development, which means basically just asked chatgpt/claude for code generation mainly. ",['Vibe_coding'],Use occasionally,Use regularly,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Never heard of it,"Example inputs and expected outputs,Performance or optimization requirements",,,,,,,,,,,,,"Documentation format requirements,Usage examples and scenarios",,,,,,Sometimes,Often,Often,Often,Sometimes,Often,Often,Often,Rarely,Sometimes,Often,Sometimes,Rarely,Often,Often,Often,Sometimes,Often,4-6,"Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions),Code-level documentation (e.g. functions, classes, inline comments)",,Somewhat reliable,Somewhat unreliable,,,,,,,Somewhat reliable,Very reliable,,,,Sometimes,Sometimes,,,,,,,Sometimes,Sometimes,,,
TRUE,52,EN,I agree to participate in the described study.,Canada,10,Banking,['Banking'],"Programmer,Tester,Software Architect",,"Web applications,Mobile applications,Desktop applications",,"Python,Java,JavaScript,SQL",,Yes,"4 - Very proficient: With time, I can almost always get the desired output for most tasks",Code Generation,Copilot,,,IDE plugins/extensions,,A few times per week,No noticeable change,No,,,Use regularly,Use occasionally,Use occasionally,Heard of it but don't use,Use regularly,Use regularly,Heard of it but don't use,"Example inputs and expected outputs,Specific libraries or frameworks to use",,,,,,,,,,,,,,,,,,,Rarely,Never,Rarely,Often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Never,Often,Rarely,Rarely,Rarely,Rarely,2-3,"Designing software and code architectures (e.g. software design, architectural patterns)",,Unsure / Haven’t tried,Unsure / Haven’t tried,,,,,,,,,,,,Rarely,Often,,,,,,,,,,,
TRUE,53,EN,I agree to participate in the described study.,Canada,3,Software Development,['Software'],"Programmer,Researcher",,"AI-intensive systems,Development tools (compilers, programming languages, etc.)",,"Python,Java,Others (please specify)",Rust,Yes,5 - Maximum proficiency: I can efficiently obtain desired output for any task,"Code Generation,Software Testing ","ChatGPT,Gemini,Llama",,,Web interfaces,,Multiple times daily,Slightly increased productivity,Yes,Made it a lot easier to find information and code snippets.,['Information lookup'],Heard of it but don't use,Heard of it but don't use,Use regularly,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,Heard of it but don't use,"Implementation alternatives to consider or avoid,Error handling expectations",,,,,,,Examples of test cases (inputs-output mappings),,,,,,,,,,,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,10+,"Designing software and code architectures (e.g. software design, architectural patterns),Setting up structural code (e.g. boilerplate, function headers, imports),Implementing new code components (e.g. includes creating data structures, writing functions)",,Somewhat reliable,Unsure / Haven’t tried,,,Unsure / Haven’t tried,Unsure / Haven’t tried,,,,,,,,Sometimes,Always,,,Never,Never,,,,,,,
TRUE,54,EN,I agree to participate in the described study.,United States of America,1,mental health,['Healthcare'],Researcher,,Web applications,,"Python,C++,JavaScript",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Debugging","ChatGPT,Claude,Gemini",,,Web interfaces,,A few times per week,Slightly increased productivity,Unsure,,,Use occasionally,Heard of it but don't use,Use regularly,Heard of it but don't use,Use occasionally,Heard of it but don't use,Heard of it but don't use,"Example inputs and expected outputs,Performance or optimization requirements,Description of existing codebase architecture",,,,,,,,,,"Steps to reproduce the issue,Previously attempted solutions",,,,,,,,,Rarely,Sometimes,Often,Often,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,4-6,"Designing software and code architectures (e.g. software design, architectural patterns)",,Very unreliable,Very reliable,,,,,Somewhat unreliable,Somewhat reliable,,,,,,Often,Sometimes,,,,,Always,Sometimes,,,,,
TRUE,55,EN,I agree to participate in the described study.,Canada,10,telecom,['Communication'],"Programmer,Consultant,Researcher",,"Web applications,Mobile applications,Development tools (compilers, programming languages, etc.)",,"Python,Java",,Yes,5 - Maximum proficiency: I can efficiently obtain desired output for any task,"Code Generation,Code Refactoring,Software Testing ,Code Debugging,Code Documentation,Code Review","ChatGPT,Claude",,,Web interfaces,,Multiple times daily,Significantly increased productivity,No,,,Use regularly,Heard of it but don't use,Use regularly,Use regularly,Use regularly,Use occasionally,Use occasionally,"Example inputs and expected outputs,Specific libraries or frameworks to use,Performance or optimization requirements,Implementation alternatives to consider or avoid",,,,"The original code with explanatory comments,Description of current issues and refactoring goals,Specific refactoring patterns to apply",,,"Code to be tested with specifications,Mocking or dependency handling instructions",,,"Full error messages and stack traces,Environment details and configurations,Related logs or console output,Version control history or recent changes",,,"Code with functionality explanation,Documentation format requirements",,,"Code to be reviewed with context,Previous review feedback,Description of feature or fix purpose",,,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,4-6,"Implementing new code components (e.g. includes creating data structures, writing functions),Optimizing existing code (e.g. performance improvements, reducing complexity),Issue diagnosis (e.g. understanding errors, identifying root causes),Bug fixing (e.g. resolving exceptions, fixing logical errors)",,Very reliable,Somewhat unreliable,Somewhat unreliable,Somewhat reliable,Somewhat reliable,Somewhat reliable,Somewhat reliable,Somewhat unreliable,Somewhat reliable,Somewhat reliable,Somewhat reliable,Somewhat reliable,,Sometimes,Often,Always,Often,Often,Often,Often,Often,Often,Sometimes,Often,Often,
TRUE,56,EN,I agree to participate in the described study.,United States of America,10,Ad,['Marketing'],"Programmer,Tester,Software Architect,Project Technical Lead",,Web applications,,"Java,JavaScript",,Yes,3 - Proficient: I can use AI to effectively assist in some way for most tasks,"Code Generation,Code Refactoring",Gemini,,,IDE plugins/extensions,,A few times per week,No noticeable change,Unsure,,,Use regularly,Use regularly,Use regularly,Use regularly,Use regularly,Use regularly,Use regularly,Error handling expectations,,,,Examples of similar code you consider well-structured,,,,,,,,,,,,,,,Rarely,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,7-10,"Designing software and code architectures (e.g. software design, architectural patterns)",,Somewhat unreliable,Somewhat unreliable,Somewhat unreliable,Somewhat unreliable,,,,,,,,,,Sometimes,Sometimes,Sometimes,Rarely,,,,,,,,,
